#Time	T1	T2	T3
11 10 49	754.3	778.4	357.7
11 10 50	754.1	778.4	357.6
11 10 51	754	778.3	357.6
11 10 52	753.9	778.3	357.5
11 10 53	753.7	778.2	357.4
11 10 54	753.6	778.2	357.4
11 10 55	753.4	778.1	357.3
11 10 56	753.4	778.1	357.2
11 10 57	753.3	778	357.1
11 10 58	753.2	777.9	357
11 10 59	753	777.9	356.9
11 11 00	752.9	777.8	356.9
11 11 01	752.7	777.7	356.8
11 11 02	752.6	777.7	356.7
11 11 03	752.4	777.7	356.6
11 11 04	752.4	777.6	356.6
11 11 05	752.3	777.5	356.5
11 11 06	752.1	777.4	356.4
11 11 07	752	777.4	356.3
11 11 08	751.9	777.3	356.3
11 11 09	751.7	777.2	356.3
11 11 10	751.6	777.2	356.2
11 11 11	751.5	777.2	356.1
11 11 12	751.5	777.1	356
11 11 13	751.4	777.1	356
11 11 14	751.2	777	355.9
11 11 15	751.1	777	355.8
11 11 16	751	776.9	355.8
11 11 17	750.8	776.9	355.8
11 11 18	750.8	776.9	355.7
11 11 19	750.7	776.8	355.6
11 11 20	750.5	776.7	355.5
11 11 21	750.4	776.6	355.5
11 11 22	750.2	776.6	355.4
11 11 23	750.1	776.5	355.3
11 11 24	749.9	776.5	355.3
11 11 25	749.8	776.4	355.2
11 11 26	749.8	776.4	355.1
11 11 27	749.6	776.3	355
11 11 28	749.5	776.2	354.9
11 11 29	749.4	776.2	354.8
11 11 30	749.2	776.1	354.8
11 11 31	749.1	776	354.7
11 11 32	748.9	776	354.6
11 11 33	748.8	775.9	354.5
11 11 34	748.8	775.8	354.4
11 11 35	748.6	775.8	354.3
11 11 36	744.9	775.7	354.2
11 11 37	746.4	775.6	354.1
11 11 38	719.2	775.6	354.1
11 11 39	714.2	775.5	353.9
11 11 40	712.3	775.5	353.8
11 11 41	710.5	775.4	353.7
11 11 42	710.5	775.3	353.5
11 11 43	707.6	775.3	353.4
11 11 44	704.9	775.2	353.3
11 11 45	703.5	775.2	353.2
11 11 46	698.2	775.1	353.2
11 11 47	688.6	775.1	353.1
11 11 48	688.6	775.1	353
11 11 49	677.6	775	352.9
11 11 50	680.1	774.9	352.8
11 11 51	686.3	774.9	352.7
11 11 52	685.6	774.8	352.6
11 11 53	685.6	774.7	352.5
11 11 54	685	774.7	352.5
11 11 55	685	774.6	352.4
11 11 56	685	774.6	352.3
11 11 57	685	774.5	352.2
11 11 58	687.9	774.4	352.1
11 11 59	690	774.4	352
11 12 00	692.3	774.3	352
11 12 01	690.2	774.2	351.9
11 12 02	687.8	774.2	351.8
11 12 03	686.7	774.2	351.7
11 12 04	686.7	774.1	351.6
11 12 05	685.9	774	351.5
11 12 06	684.9	773.9	351.4
11 12 07	683.6	773.8	351.3
11 12 08	684.2	773.8	351.3
11 12 09	686.4	773.7	351.2
11 12 10	687.8	773.7	351.1
11 12 11	687.8	773.6	351
11 12 12	687.8	773.5	350.9
